class,precision,recall,f1_score
0,0.742485,0.756122,0.749242
1,0.972926,0.981498,0.977193
2,0.509901,0.299419,0.377289
3,0.000000,0.000000,0.000000
4,0.682099,0.225051,0.338438
5,0.683168,0.773543,0.725552
6,0.000000,0.000000,0.000000
7,0.000000,0.000000,0.000000
8,0.337090,0.675565,0.449761
9,0.000000,0.000000,0.000000
