class,precision,recall,f1_score
0,0.984772,0.989796,0.987277
1,0.988586,0.992070,0.990325
2,0.975985,0.984496,0.980222
3,0.981299,0.987129,0.984205
4,0.977778,0.985743,0.981744
5,0.991982,0.970852,0.981303
6,0.983316,0.984342,0.983829
7,0.979492,0.975681,0.977583
8,0.976555,0.983573,0.980051
9,0.983871,0.967294,0.975512
